#TimeHarp 260  Histogram Data			26-Apr-21 05:05:56 PM
#channels per curve
32768
#display curve no.
0	1	2	3	4	5	6	
#memory block no.
0	1	2	3	4	5	6	
#ns/bin
0.1000	0.1000	0.1000	0.1000	0.1000	0.1000	0.1000	
#counts
9	238	263	167	363	213	9	
5	220	255	177	315	221	4	
10	218	253	188	321	209	3	
7	240	250	178	334	196	3	
8	203	250	187	326	214	4	
5	214	262	203	342	189	5	
2	257	261	219	351	192	3	
9	224	242	189	331	186	7	
6	196	250	160	319	195	6	
4	216	262	201	318	195	4	
7	217	261	180	313	208	7	
3	224	255	178	325	194	3	
7	229	244	198	306	217	6	
9	248	257	181	320	201	4	
9	224	247	168	320	186	6	
1	205	231	191	305	173	5	
2	220	240	200	304	197	2	
10	206	235	191	324	200	7	
3	235	206	171	306	170	2	
6	204	259	195	323	178	5	
5	236	248	180	335	172	6	
5	216	232	171	321	195	2	
2	207	263	196	299	167	5	
7	202	235	189	300	205	7	
6	214	215	173	307	185	6	
4	190	227	200	295	179	6	
5	178	264	180	334	183	6	
4	208	255	210	284	187	4	
7	201	232	178	303	186	7	
5	218	247	195	320	180	3	
7	195	247	174	301	200	5	
3	197	262	180	288	181	7	
8	214	227	217	333	172	7	
2	226	234	198	320	171	2	
8	213	237	202	308	166	8	
1	204	238	179	312	154	5	
8	199	232	212	296	169	5	
6	211	253	199	280	165	4	
3	188	221	215	306	166	2	
5	212	234	192	318	160	4	
1	197	233	183	321	166	6	
4	193	232	199	304	169	3	
4	199	225	190	308	152	7	
8	183	223	198	323	164	3	
5	206	206	199	322	153	6	
3	182	250	215	314	171	6	
1	214	256	196	325	185	4	
2	206	224	174	271	166	7	
5	192	239	188	284	174	6	
2	179	245	197	307	177	4	
4	205	257	197	308	157	6	
2	165	250	160	311	170	6	
6	203	245	211	308	167	3	
2	186	254	174	304	149	1	
1	209	234	193	308	141	4	
3	201	263	187	304	181	4	
1	180	238	188	312	157	3	
2	195	249	190	296	141	6	
3	192	224	190	299	175	4	
3	216	228	218	311	162	5	
0	193	245	188	301	175	2	
2	187	237	194	319	162	9	
3	190	217	196	301	178	5	
3	209	223	173	297	152	2	
3	193	249	198	279	146	5	
2	196	236	167	306	147	6	
0	199	212	195	282	140	4	
5	209	235	176	289	136	3	
3	202	226	193	301	135	3	
3	155	244	192	293	165	6	
2	195	227	171	280	131	5	
6	148	212	193	288	139	6	
1	184	240	183	303	153	0	
3	196	240	176	303	133	3	
4	184	220	196	260	157	5	
2	164	253	187	316	140	4	
1	190	229	192	305	153	6	
2	182	193	193	277	149	0	
3	173	201	183	275	146	5	
5	145	252	201	284	122	5	
4	190	216	183	293	142	4	
3	183	234	185	307	147	2	
0	195	222	194	307	136	2	
1	168	220	199	242	139	5	
3	161	225	188	282	144	2	
3	187	210	207	274	140	6	
0	180	208	178	300	126	5	
2	183	239	188	281	137	5	
3	175	217	166	319	152	5	
2	173	217	184	293	122	6	
1	197	183	205	283	138	5	
1	188	206	218	301	119	8	
0	178	221	165	299	143	3	
1	179	221	210	311	129	5	
2	189	219	182	278	120	8	
3	185	204	184	277	123	4	
1	180	217	182	283	116	4	
2	176	224	205	305	118	5	
0	172	203	189	267	133	4	
5	194	225	176	275	128	10	
1	181	210	184	281	124	7	
2	173	210	190	250	132	9	
2	195	206	195	268	116	5	
1	164	220	176	280	112	0	
3	184	202	175	275	110	6	
0	187	221	223	255	117	2	
1	177	191	205	288	130	5	
1	166	245	195	282	129	3	
1	164	222	204	267	118	2	
1	179	213	171	281	133	4	
2	161	221	174	293	127	7	
1	191	244	178	258	114	2	
2	162	221	184	296	105	0	
1	177	211	205	291	122	5	
1	171	245	173	281	106	3	
1	170	223	194	289	112	5	
1	173	224	180	296	109	4	
1	173	230	178	267	121	2	
2	173	232	187	310	136	7	
3	164	202	190	245	111	7	
1	187	198	194	255	101	4	
0	158	227	205	266	114	5	
0	182	201	209	260	93	3	
0	182	197	174	292	101	5	
3	164	194	181	291	96	1	
1	185	200	179	266	117	4	
1	142	229	204	271	114	3	
0	160	214	200	247	103	1	
1	174	244	189	267	98	6	
2	145	185	185	292	97	4	
1	152	203	154	245	105	5	
1	141	192	181	275	99	2	
4	161	199	186	312	125	5	
1	147	205	182	261	98	1	
1	158	216	183	275	111	6	
1	173	229	182	243	112	2	
2	139	204	183	260	94	4	
0	148	218	182	252	99	3	
0	176	187	170	270	117	1	
0	165	222	195	261	113	2	
0	154	202	158	270	115	5	
1	141	214	198	273	125	1	
1	150	219	183	277	106	3	
1	170	213	170	264	111	4	
1	164	201	186	246	95	3	
0	153	200	193	237	94	3	
3	143	187	196	278	104	2	
1	146	199	186	258	104	2	
0	154	198	169	264	101	3	
0	155	207	196	232	118	3	
0	149	216	183	283	101	4	
0	146	193	205	265	92	3	
0	166	226	175	273	94	3	
0	130	201	176	287	75	3	
0	124	205	179	250	94	2	
1	138	234	178	243	91	3	
1	158	192	171	275	109	6	
0	150	207	184	261	95	4	
0	141	217	173	262	89	5	
0	160	212	172	274	94	3	
1	139	218	166	239	97	4	
1	143	194	188	249	99	4	
3	141	219	192	252	114	4	
1	135	194	193	240	92	4	
0	145	210	227	270	95	3	
0	139	186	178	251	100	6	
0	155	219	188	269	93	4	
1	136	195	152	266	101	3	
3	126	193	172	235	106	3	
0	154	179	200	230	109	3	
0	149	198	184	254	79	4	
1	145	178	181	288	105	0	
1	135	172	197	256	83	8	
1	137	200	193	258	94	2	
0	163	199	177	258	97	1	
1	145	192	168	279	91	2	
1	153	209	171	268	70	2	
3	151	185	171	243	92	1	
0	149	194	198	241	73	4	
0	136	185	172	258	84	2	
0	149	204	154	252	77	3	
1	146	199	196	245	95	2	
0	161	198	191	252	94	4	
3	138	199	194	215	94	5	
0	135	215	153	242	87	2	
0	153	212	180	221	90	3	
2	130	170	162	268	113	7	
2	135	195	172	252	80	4	
1	148	189	174	248	94	3	
0	138	160	196	232	88	3	
0	148	196	175	248	82	2	
2	140	197	152	236	105	1	
1	113	200	197	260	88	3	
0	152	206	178	227	83	3	
3	149	170	172	263	90	1	
1	152	197	201	248	83	3	
0	118	185	188	246	82	2	
0	122	199	193	265	85	2	
2	160	190	164	268	82	1	
1	124	185	170	276	84	3	
0	117	175	177	247	80	6	
0	137	192	167	236	79	3	
1	137	158	174	265	73	2	
0	137	172	194	247	78	5	
0	115	190	160	243	70	2	
0	135	162	197	235	81	0	
0	150	197	163	265	85	1	
1	147	187	172	232	88	7	
0	154	181	171	252	96	4	
0	109	175	174	229	75	3	
0	118	162	176	250	66	7	
0	125	197	173	236	79	3	
0	117	173	148	262	77	2	
0	140	189	182	238	64	0	
0	136	182	192	209	74	2	
0	147	178	171	234	70	2	
0	126	172	160	240	79	1	
1	103	191	180	216	66	3	
1	133	177	173	249	72	9	
1	124	198	190	224	77	3	
0	140	198	187	213	66	2	
0	153	145	174	222	65	6	
0	147	164	189	248	72	1	
0	141	194	145	198	75	5	
0	132	184	177	214	59	3	
0	126	168	198	269	70	2	
0	120	176	167	231	66	1	
0	137	167	179	245	61	1	
0	136	194	169	228	73	2	
0	125	174	173	235	72	3	
0	125	177	155	233	71	3	
0	142	187	160	226	64	4	
0	125	185	195	224	69	6	
0	142	151	186	225	63	5	
0	116	170	199	209	67	4	
0	129	188	176	211	69	4	
1	121	173	198	207	59	3	
0	110	181	176	248	69	4	
0	119	178	159	206	66	0	
0	104	170	191	240	68	4	
0	115	142	168	205	63	1	
0	132	176	174	230	66	0	
0	145	159	187	216	57	0	
0	111	172	195	251	66	3	
0	120	190	168	247	64	3	
0	151	156	163	228	63	4	
0	143	166	156	241	67	3	
0	131	158	185	226	59	1	
0	110	157	166	235	66	2	
0	92	180	179	222	52	3	
0	136	175	182	224	61	3	
0	111	183	147	215	56	5	
0	112	157	166	220	50	4	
0	115	157	181	227	71	1	
0	119	174	168	208	81	0	
0	112	187	160	233	65	1	
0	117	165	178	254	49	4	
0	134	160	172	204	74	2	
1	98	164	197	232	49	6	
0	112	145	183	215	68	2	
0	145	184	154	217	76	2	
0	126	160	182	217	55	4	
0	109	182	184	220	61	4	
0	96	181	161	226	65	2	
0	119	170	149	220	49	2	
0	135	193	160	190	44	2	
0	96	160	157	220	49	1	
0	115	157	167	205	60	4	
0	116	176	165	231	64	1	
0	117	169	164	230	69	4	
0	107	178	155	208	59	1	
1	97	152	191	227	52	4	
0	105	162	164	212	66	4	
0	121	156	167	245	50	2	
0	133	169	172	231	53	2	
0	111	174	170	197	73	0	
0	110	179	185	220	52	3	
0	110	154	187	231	75	3	
0	113	164	183	221	45	1	
0	107	167	204	200	76	4	
0	97	173	168	210	60	3	
0	100	161	156	260	68	2	
0	124	155	196	210	56	2	
0	117	184	160	199	56	1	
0	111	154	164	235	66	2	
1	108	178	178	195	48	4	
0	117	175	187	237	67	1	
0	117	167	173	206	48	2	
1	91	187	172	187	47	3	
0	118	134	165	216	58	1	
0	115	150	176	209	51	2	
0	111	164	146	206	55	3	
0	132	139	176	215	58	2	
0	109	146	192	238	42	2	
1	116	171	166	183	38	2	
0	96	170	167	197	42	4	
0	110	158	164	210	46	1	
0	101	163	159	219	67	2	
0	126	138	149	198	48	2	
0	111	169	142	239	59	3	
0	109	142	182	213	64	1	
0	95	164	168	223	39	1	
0	96	160	145	216	49	1	
0	126	153	164	244	60	3	
0	117	164	159	180	44	3	
0	117	156	159	193	48	2	
0	103	172	162	206	47	1	
0	126	169	176	213	52	1	
0	102	158	192	217	52	5	
0	114	177	176	199	48	3	
0	126	149	157	205	52	1	
0	99	156	150	213	41	1	
0	116	140	164	195	68	4	
0	94	166	160	192	58	6	
0	118	145	164	221	55	1	
1	112	147	158	187	42	4	
1	108	155	171	193	56	6	
0	120	157	164	227	63	5	
0	112	161	156	199	50	3	
0	113	135	174	226	49	3	
0	99	160	171	217	51	5	
0	95	168	128	200	48	3	
1	129	171	182	163	44	4	
0	124	161	185	201	46	2	
0	112	157	156	203	46	1	
0	97	162	153	235	41	1	
0	106	180	177	184	49	2	
0	87	153	160	161	36	3	
0	94	142	170	193	46	4	
0	107	138	168	212	39	0	
0	102	138	151	220	31	2	
0	103	145	150	168	29	1	
0	96	130	186	186	38	2	
0	99	161	164	207	52	1	
0	111	143	170	194	53	1	
0	94	145	157	191	44	5	
0	103	149	168	208	37	3	
0	114	154	170	215	37	1	
0	110	167	167	199	33	5	
0	120	134	141	224	35	1	
0	103	140	146	168	32	2	
0	109	160	154	221	55	3	
0	114	159	149	202	30	4	
0	95	157	180	220	45	6	
0	97	126	158	212	44	4	
0	116	147	170	199	39	1	
0	101	126	157	198	37	1	
0	102	133	143	215	44	2	
0	92	153	164	189	30	4	
0	98	135	174	186	38	3	
0	114	141	171	194	34	0	
0	118	139	175	184	44	0	
0	96	151	197	160	41	0	
0	89	146	159	201	35	2	
0	102	154	144	205	30	5	
0	115	141	146	190	44	0	
0	90	128	168	202	40	4	
0	118	138	157	195	40	2	
0	106	177	174	178	41	1	
0	88	154	159	224	40	3	
0	88	148	165	190	36	0	
0	86	134	155	209	36	2	
0	78	135	149	194	33	1	
0	98	137	164	200	32	1	
0	107	154	174	224	50	1	
0	85	138	164	181	46	3	
0	88	145	158	192	29	4	
0	76	145	147	199	39	4	
0	97	137	165	201	28	2	
0	102	156	149	175	39	4	
0	85	144	145	197	41	1	
0	81	139	163	197	34	4	
0	101	152	157	175	31	6	
0	78	134	163	170	29	1	
0	90	148	153	165	38	2	
0	96	144	152	181	40	1	
0	95	137	155	192	37	2	
0	102	164	147	193	28	6	
0	85	144	164	195	32	4	
0	105	142	144	183	32	1	
0	84	147	147	196	31	3	
0	82	134	147	178	33	0	
0	84	135	159	197	30	0	
0	87	141	148	193	26	7	
0	101	138	139	190	27	2	
0	80	132	144	189	25	0	
0	101	138	149	198	22	6	
0	89	130	127	187	43	3	
0	109	134	181	186	38	1	
0	96	118	155	194	37	1	
0	89	125	154	196	44	2	
0	87	136	157	200	26	0	
0	80	114	154	178	36	0	
0	93	115	161	187	39	2	
0	92	141	170	179	37	3	
0	95	150	158	167	30	1	
0	94	120	153	169	27	1	
0	91	124	164	198	35	3	
0	82	119	166	174	42	2	
0	84	139	153	168	39	1	
0	92	137	160	182	31	4	
0	84	139	163	200	25	1	
0	81	137	136	185	29	0	
0	78	125	126	165	36	2	
0	85	108	159	172	36	3	
0	95	119	154	185	28	2	
0	88	131	149	176	40	0	
0	96	103	162	165	26	1	
0	86	112	165	211	27	4	
0	91	112	147	181	28	3	
0	85	112	152	182	25	1	
0	87	142	143	186	21	2	
0	102	129	137	152	30	0	
0	93	140	186	190	43	1	
0	95	126	166	187	29	1	
0	94	123	150	178	21	0	
0	99	126	160	154	34	1	
0	78	119	170	181	36	1	
0	87	119	157	163	24	3	
0	84	118	167	185	29	1	
0	86	103	157	171	30	2	
0	71	121	150	191	28	3	
0	89	127	140	184	36	1	
0	78	132	147	150	29	2	
0	85	104	130	187	37	0	
0	86	139	149	178	34	1	
0	97	124	142	178	24	1	
0	82	103	148	188	23	2	
0	75	125	126	186	33	1	
0	65	138	180	179	23	1	
0	101	106	126	176	29	2	
0	73	129	151	177	28	2	
0	73	104	161	170	50	3	
0	66	135	150	182	29	0	
0	82	122	151	171	30	1	
0	65	115	176	185	29	1	
0	69	110	154	180	29	1	
0	89	116	139	177	24	0	
0	86	108	145	172	25	2	
0	70	99	156	143	24	2	
0	90	135	171	140	32	2	
0	68	139	154	175	34	1	
0	60	138	140	181	37	2	
0	83	140	139	166	22	1	
0	93	110	149	182	32	2	
0	65	107	152	181	33	6	
0	82	111	159	136	20	1	
0	71	124	153	174	34	4	
0	83	111	145	176	25	3	
0	80	112	138	168	28	2	
0	85	135	135	161	27	1	
0	81	95	158	150	20	0	
0	72	140	138	157	18	0	
0	86	120	150	152	36	2	
0	61	95	140	175	30	2	
0	66	122	159	169	20	2	
0	78	115	156	158	24	2	
1	77	120	149	169	25	5	
0	58	135	137	165	33	0	
0	100	139	136	153	20	1	
0	67	114	148	151	17	1	
0	67	105	149	168	31	1	
0	72	116	131	172	26	2	
0	73	118	156	170	23	1	
0	83	124	125	162	20	2	
0	81	113	135	175	19	1	
0	84	111	124	168	29	1	
0	82	113	125	181	19	2	
0	57	116	142	182	31	4	
